"","match_id","league","n_games"
"396",1011840,"Belgium: Proximus League",170
"397",1011841,"Belgium: Proximus League",170
"398",1011842,"Belgium: Proximus League",170
"399",1011850,"France: Ligue 1",221
"400",1011851,"France: Ligue 1",221
"401",1011852,"France: Ligue 1",221
"402",1011853,"France: Ligue 1",221
"403",1011858,"Argentina: Primera B Metropolitana",148
"404",1011861,"South Africa: Premier League",128
"405",1011862,"Spain: Segunda Division",251
"406",1011866,"Belgium: Jupiler League",155
"407",1011867,"Chile: Primera Division",130
"408",1011869,"Chile: Primera B",116
"409",1011872,"Italy: Lega Pro - Group B",194
"410",1011873,"Italy: Lega Pro - Group B",194
"411",1011874,"Italy: Lega Pro - Group B",194
"412",1011875,"Italy: Lega Pro - Group C",198
"413",1011876,"Italy: Lega Pro - Group C",198
"414",1011877,"Poland: Ekstraklasa",122
"415",1011878,"Spain: Primera Division",224
"416",1011879,"Spain: Primera Division",224
"417",1011880,"Uruguay: Primera Division",115
"418",1011881,"Uruguay: Primera Division",115
"419",1011882,"Uruguay: Primera Division",115
"420",1011884,"Italy: Serie A",228
"421",1011885,"Netherlands: Eredivisie",175
"422",1011886,"Netherlands: Eredivisie",175
"423",1011887,"Argentina: Primera Division",203
"424",1011888,"Argentina: Primera Division",203
"425",1011891,"Bolivia: Liga de Futbol Prof",124
"426",1011892,"Bolivia: Liga de Futbol Prof",124
"427",1011895,"Chile: Primera B",116
"428",1011896,"Colombia: Liga Aguila",185
"429",1011897,"Uruguay: Primera Division",115
"430",1011904,"Brazil: Série B",150
"431",1011905,"Brazil: Série B",150
"432",1011906,"Brazil: Série B",150
"433",1011907,"Brazil: Série B",150
"434",1011908,"Brazil: Série B",150
"435",1011909,"Portugal: Primeira Liga",177
"436",1011911,"Colombia: Torneo Aguila",102
"437",1011912,"Colombia: Torneo Aguila",102
"438",1011914,"Peru: Primera Division",154
"439",1011923,"Spain: Primera Division",224
"440",1011926,"Colombia: Liga Aguila",185
"441",1011927,"El Salvador: Primera Division",129
"442",1011931,"Argentina: Primera Division",203
"443",1011932,"Argentina: Primera Division",203
"444",1011934,"Brazil: Série A",150
"445",1011935,"Venezuela: Primera Division",165
"446",1011939,"Mexico: Primera Division",166
"447",1011940,"Mexico: Liga de Ascenso",134
"448",1011942,"Peru: Primera Division",154
"449",1011943,"Colombia: Liga Aguila",185
"450",1011944,"Mexico: Liga de Ascenso",134
"451",1011948,"Paraguay: Primera Division",110
"452",1011949,"Paraguay: Primera Division",110
"453",1011950,"Argentina: Primera Division",203
"454",1011951,"Argentina: Primera Division",203
"455",1011952,"Chile: Primera Division",130
"456",1011958,"Brazil: Série A",150
"457",1011959,"Brazil: Série B",150
"458",1011960,"Brazil: Série B",150
"459",1011961,"Mexico: Primera Division",166
"460",1011962,"Mexico: Liga de Ascenso",134
"461",1011963,"El Salvador: Primera Division",129
"462",1011967,"Colombia: Liga Aguila",185
"463",1011968,"Guatemala: Liga Nacional",139
"464",1011970,"Mexico: Liga de Ascenso",134
"465",1011971,"Peru: Primera Division",154
"466",1011972,"Mexico: Primera Division",166
"467",1011974,"Mexico: Primera Division",166
"468",1011976,"Costa Rica: Primera Division",151
"469",1011977,"Guatemala: Liga Nacional",139
"470",1011978,"Mexico: Primera Division",166
"471",1011980,"Japan: J-League Division 2",137
"472",1011981,"Japan: J-League Division 2",137
"473",1011982,"Japan: J-League Division 2",137
"474",1011983,"Japan: J-League Division 2",137
"475",1011984,"Japan: J-League Division 2",137
"476",1019492,"Japan: J-League Division 2",137
"477",1019493,"Japan: J-League Division 2",137
"478",1019494,"Japan: J-League Division 2",137
"479",1019495,"Japan: J-League Division 2",137
"480",1019496,"Japan: J-League Division 2",137
"481",1019498,"Romania: Liga 2/Serie 2",108
"482",1019506,"Czech Republic: Youth League",107
"483",1019509,"Germany: Oberliga Hamburg",118
"484",1019510,"Czech Republic: Youth League",107
"485",1019511,"Czech Republic: Youth League",107
"486",1019521,"Spain: Superliga Women",136
"487",1019522,"Germany: Oberliga Hamburg",118
"488",1019524,"Spain: Segunda Division B - Group 2",231
"489",1019525,"Spain: Segunda Division B - Group 4",228
"490",1019526,"Spain: Superliga Women",136
"491",1019531,"Japan: J-League Division 2",137
"492",1019534,"Spain: Primera Division",224
"493",1019535,"Spain: Segunda Division",251
"494",1019536,"Spain: Segunda Division B - Group 1",230
"495",1019537,"Spain: Segunda Division B - Group 2",231
"496",1019538,"Spain: Segunda Division B - Group 3",219
"497",1019539,"Spain: Segunda Division B - Group 3",219
"498",1019541,"Spain: Segunda Division B - Group 4",228
"499",1019542,"Spain: Segunda Division B - Group 4",228
"500",1019543,"Spain: Superliga Women",136
"501",1019544,"Spain: Segunda Division B - Group 2",231
"502",1019547,"Italy: Serie A",228
"503",1019551,"Netherlands: Eredivisie",175
"504",1019553,"Spain: Superliga Women",136
"505",1019554,"Poland: Division 1",100
"506",1019563,"Germany: Regionalliga Nordost",130
"507",1019564,"Germany: Regionalliga Nordost",130
"508",1019565,"Germany: Regionalliga Nordost",130
"509",1019578,"Spain: Superliga Women",136
"510",1019579,"Spain: Superliga Women",136
"511",1019583,"Turkey: Super Lig",161
"512",1019587,"Germany: 2. Bundesliga",148
"513",1019588,"Germany: 2. Bundesliga",148
"514",1019589,"Germany: 2. Bundesliga",148
"515",1019590,"Germany: Regionalliga Nordost",130
"516",1019591,"Germany: Regionalliga Nordost",130
"517",1019606,"Czech Republic: Youth League",107
"518",1019609,"France: Ligue 1",221
"519",1019610,"Germany: 3. Liga",189
"520",1019611,"Germany: 3. Liga",189
"521",1019612,"Germany: Regionalliga North",118
"522",1019613,"Germany: Regionalliga North",118
"523",1019614,"Germany: Regionalliga North",118
"524",1019615,"Germany: Regionalliga West",143
"525",1019616,"Germany: Regionalliga Sudwest",110
"526",1019617,"Germany: Regionalliga Sudwest",110
"527",1019626,"Germany: Oberliga Hamburg",118
"528",1019639,"Greece: Football League",165
"529",1019640,"Italy: Lega Pro - Group A",192
"530",1019641,"Italy: Lega Pro - Group C",198
"531",1019642,"Italy: Lega Pro - Group C",198
"532",1019665,"England: Championship",308
"533",1019667,"Belgium: Jupiler League",155
"534",1019670,"Italy: Lega Pro - Group C",198
"535",1019671,"Italy: Lega Pro - Group C",198
"536",1019672,"Netherlands: Eredivisie",175
"537",1019673,"Netherlands: Eredivisie",175
"538",1019674,"Netherlands: Eerste Divisie",191
"539",1019675,"Netherlands: Eerste Divisie",191
"540",1019676,"Netherlands: Eerste Divisie",191
"541",1019677,"Netherlands: Eerste Divisie",191
"542",1019680,"Turkey: PTT 1. Lig",162
"543",1019681,"Turkey: PTT 1. Lig",162
"544",1019683,"Turkey: TFF 2. Lig White Group",103
"545",1019690,"Belgium: Proximus League",170
"546",1019691,"Belgium: Proximus League",170
"547",1019692,"Belgium: Proximus League",170
"548",1019696,"Belgium: Belgium Third Division Group A",157
"549",1019697,"Belgium: Belgium Third Division Group A",157
"550",1019701,"Belgium: Belgium Third Division Group B",182
"551",1019702,"Belgium: Belgium Third Division Group B",182
"552",1019730,"Germany: Regionalliga North",118
"553",1019731,"Germany: Regionalliga North",118
"554",1019733,"Germany: Oberliga Hamburg",118
"555",1019734,"Germany: Oberliga Hamburg",118
"556",1019735,"Germany: Oberliga Hamburg",118
"557",1019744,"Germany: Oberliga Westfalen",124
"558",1019745,"Germany: Oberliga Westfalen",124
"559",1019746,"Germany: Oberliga Westfalen",124
"560",1019747,"Germany: Oberliga Westfalen",124
"561",1019748,"Germany: Oberliga Westfalen",124
"562",1019749,"Germany: Oberliga Westfalen",124
"563",1019750,"Germany: Oberliga Westfalen",124
"564",1019751,"Germany: Oberliga Rheinland-Pfalz/Saar",102
"565",1019752,"Germany: Oberliga Rheinland-Pfalz/Saar",102
"566",1019753,"Germany: Oberliga Rheinland-Pfalz/Saar",102
"567",1019759,"Germany: Oberliga Niederrhein",115
"568",1019760,"Germany: Oberliga Niederrhein",115
"569",1019761,"Germany: Oberliga Niederrhein",115
"570",1019762,"Germany: Oberliga Niederrhein",115
"571",1019763,"Germany: Oberliga Niederrhein",115
"572",1019764,"Germany: Oberliga Niederrhein",115
"573",1019765,"Germany: Oberliga Niederrhein",115
"574",1019766,"Greece: Super League",164
"575",1019767,"Greece: Football League",165
"576",1019768,"Greece: Football League",165
"577",1019769,"Greece: Football League",165
"578",1019770,"Greece: Football League",165
"579",1019771,"Greece: Football League",165
"580",1019773,"Italy: Serie A",228
"581",1019774,"Italy: Serie A",228
"582",1019775,"Italy: Serie A",228
"583",1019776,"Italy: Serie A",228
"584",1019777,"Italy: Lega Pro - Group A",192
"585",1019778,"Italy: Lega Pro - Group A",192
"586",1019779,"Italy: Lega Pro - Group A",192
"587",1019780,"Italy: Lega Pro - Group A",192
"588",1019889,"Poland: Division 1",100
"589",1019897,"Serbia: Super Liga",118
"590",1019898,"Serbia: Super Liga",118
"591",1019899,"Serbia: Super Liga",118
"592",1019911,"South Africa: Premier League",128
"593",1019912,"South Africa: Premier League",128
"594",1019913,"South Africa: Premier League",128
"595",1019933,"Turkey: TFF 2. Lig White Group",103
"596",1019934,"Turkey: TFF 2. Lig White Group",103
"597",1019935,"Turkey: TFF 2. Lig White Group",103
"598",1019965,"United Arab Emirates: UAE League",112
"599",1019981,"Germany: Bundesliga",164
"600",1019982,"Germany: Oberliga Niederrhein",115
"601",1020013,"Poland: Ekstraklasa",122
"602",1020025,"United Arab Emirates: UAE League",112
"603",1020028,"Argentina: Primera B Metropolitana",148
"604",1020029,"Argentina: Primera B Metropolitana",148
"605",1020036,"Brazil: Série A",150
"606",1020037,"Brazil: Série A",150
"607",1020051,"England: FA Cup",369
"608",1020052,"England: FA Cup",369
"609",1020058,"Italy: Lega Pro - Group A",192
"610",1020122,"Serbia: Super Liga",118
"611",1020130,"Spain: Primera Division",224
"612",1020140,"Turkey: Super Lig",161
