"","V1","match_id","match_date","match_time","outcome","closing_odds_outcome","home_opening","home_closing","draw_opening","draw_closing","away_opening","away_closing","home_opening_minus_closing","draw_opening_minus_closing","away_opening_minus_closing","home_min","home_max","home_range","draw_min","draw_max","draw_range","away_min","away_max","away_range"
"68",68,1415247,"2015-12-05","16:00:00","away",2.6,2.6,2.63,3.5,3.3,2.88,2.6,-0.0299999999999998,0.2,0.28,2.6,2.8,0.2,3.3,3.5,0.2,2.5,2.88,0.38
"69",69,1415248,"2015-12-05","16:00:00","home",2.05,2.38,2.05,3.3,3.4,3.3,3.5,0.33,-0.1,-0.2,2.05,2.38,0.33,3.3,3.5,0.2,3.3,3.6,0.3
"70",70,1415249,"2015-12-05","16:00:00","draw",3.5,4.6,4.5,3.7,3.5,1.85,1.8,0.0999999999999996,0.2,0.05,4.5,4.75,0.25,3.5,3.7,0.2,1.8,1.91,0.11
"71",71,1415467,"2015-12-05","18:30:00","away",8,1.44,1.36,4.75,4.75,10,8,0.0799999999999998,0,2,1.33,1.44,0.11,4.75,5.75,1,8,10,2
"72",72,1423095,"2015-12-06","17:00:00","home",5.5,6,5.5,4.33,4,1.57,1.57,0.5,0.33,0,5.5,6,0.5,4,4.5,0.5,1.57,1.62,0.05
"73",73,1430970,"2015-12-07","21:00:00","draw",3.7,2.05,2.05,3.6,3.7,3.75,3.75,0,-0.1,0,2.05,2.05,0,3.6,3.7,0.1,3.7,3.8,0.0999999999999996
"74",74,1459700,"2015-12-12","13:45:00","draw",3.3,3.1,2.88,3.4,3.3,2.45,2.4,0.22,0.1,0.0500000000000003,2.88,3.1,0.22,3.3,3.5,0.2,2.38,2.55,0.17
"75",75,1459857,"2015-12-12","16:00:00","home",2.5,2.45,2.5,3.4,3.25,3.2,2.8,-0.0499999999999998,0.15,0.4,2.45,2.7,0.25,3.25,3.4,0.15,2.8,3.2,0.4
"76",76,1459858,"2015-12-12","16:00:00","home",1.25,1.36,1.25,5.25,5.75,9.5,11,0.11,-0.5,-1.5,1.25,1.36,0.11,5,6.5,1.5,9,11,2
"77",77,1459859,"2015-12-12","16:00:00","away",2.5,2.75,2.8,3.3,3.25,2.63,2.5,-0.0499999999999998,0.0499999999999998,0.13,2.75,2.9,0.15,3.2,3.3,0.0999999999999996,2.5,2.88,0.38
"78",78,1459860,"2015-12-12","16:00:00","draw",3.2,2.8,2.38,3.3,3.2,2.8,3,0.42,0.0999999999999996,-0.2,2.38,2.8,0.42,3.2,3.3,0.0999999999999996,2.8,3,0.2
"79",79,1460086,"2015-12-12","18:30:00","home",3.4,3.2,3.4,3.2,3.3,2.45,2.15,-0.2,-0.0999999999999996,0.3,3.2,3.5,0.3,3.2,3.4,0.2,2.15,2.45,0.3
"80",80,1465816,"2015-12-13","14:30:00","away",1.55,6,6,4.5,4.2,1.6,1.55,0,0.3,0.05,6,7,1,4.2,4.5,0.3,1.53,1.6,0.0700000000000001
"81",81,1466030,"2015-12-13","17:00:00","draw",4.5,1.4,1.4,4.8,4.5,9.5,9,0,0.3,0.5,1.4,1.44,0.04,4.5,4.8,0.3,9,10,1
"82",82,1466031,"2015-12-13","17:00:00","away",8.5,1.4,1.36,5.25,5,8.5,8.5,0.0399999999999998,0.25,0,1.36,1.4,0.0399999999999998,5,5.5,0.5,8.5,9.5,1
"83",83,1473063,"2015-12-14","21:00:00","home",3.2,3.5,3.2,3.6,3.5,2.2,2.35,0.3,0.1,-0.15,3.1,3.5,0.4,3.5,3.6,0.1,2.2,2.38,0.18
"84",84,1502404,"2015-12-19","16:00:00","home",1.33,1.3,1.33,5.25,5,12,9,-0.03,0.25,3,1.25,1.33,0.0800000000000001,5,5.5,0.5,9,13,4
"85",85,1502405,"2015-12-19","16:00:00","away",3.6,2.15,2,3.8,3.5,3.4,3.6,0.15,0.3,-0.2,2,2.15,0.15,3.5,3.8,0.3,3.4,3.75,0.35
"86",86,1502406,"2015-12-19","16:00:00","away",7,1.44,1.44,4.75,4.33,8,7,0,0.42,1,1.44,1.45,0.01,4.33,4.75,0.42,7,8.5,1.5
"87",87,1502407,"2015-12-19","16:00:00","away",2.75,2.75,2.5,3.3,3.3,2.7,2.75,0.25,0,-0.0499999999999998,2.5,2.75,0.25,3.25,3.4,0.15,2.7,2.8,0.0999999999999996
"88",88,1502408,"2015-12-19","16:00:00","away",2.88,2.55,2.45,3.2,3.25,3.1,2.88,0.0999999999999996,-0.0499999999999998,0.22,2.45,2.55,0.0999999999999996,3.2,3.25,0.0499999999999998,2.88,3.2,0.32
"89",89,1502409,"2015-12-19","16:00:00","away",3,2.6,2.38,3.25,3.25,2.95,3,0.22,0,-0.0499999999999998,2.38,2.6,0.22,3.25,3.25,0,2.95,3,0.0499999999999998
